ID Cliente,Total Ventas USD,Total Cajas,Productos Diferentes,Categorías Diferentes,Activo
6325,4517.52,1085,62,7,1
6326,347.67,83,19,7,1
6327,226.35,70,31,6,1
6328,5848.59,1625,75,7,1
6329,6214.2,1362,58,8,1
6330,2170.95,591,71,7,1
6331,1412.265,371,42,7,1
6332,1079.685,292,43,6,1
6333,307.44,86,30,6,0
6334,2219.145,588,42,7,1
6335,3811.17,878,76,8,1
6336,4731.105,987,62,7,1
6337,92.82,29,31,6,0
6338,156.405,50,23,4,0
6339,2238.84,475,38,5,1
6340,1865.25,518,68,7,1
6341,7329.075,1366,72,8,1
6342,1315.065,403,50,7,1
6343,3742.62,969,69,8,1
6344,5987.535,1353,74,7,1
6345,21073.185,5044,112,8,1
6346,4286.205,1170,77,8,1
6347,4075.8,1040,76,8,1
6348,1041.915,258,35,6,1
6349,134.385,40,22,4,0
6350,3205.5,770,68,6,1
6351,10443.705,2832,83,7,1
6352,5715.915,1422,71,8,1
6353,2777.265,739,69,8,1
6354,4679.97,1140,73,8,1
6355,7434.135,1627,77,7,1
6356,4852.9800000000005,1280,74,8,1
6357,11812.38,2825,101,8,1
6358,22294.77,4629,83,7,1
6359,1557.975,416,49,6,1
6360,4713.03,1313,80,7,1
6361,3159.795,861,61,6,1
6362,364.83,105,35,7,0
6363,718.395,192,31,7,1
6364,3301.005,869,65,8,1
6365,1265.355,369,42,7,1
6366,4973.235,1237,82,8,1
6367,14195.91,3172,95,7,1
6368,12.719999999999999,6,4,2,0
6369,0.0,0,10,2,0
6370,1511.34,407,49,6,1
6371,15118.485,3333,95,7,1
6372,992.025,238,41,7,1
6373,2045.685,672,28,5,1
6374,768.315,220,33,6,1
6375,4396.455,1323,81,7,1
6376,1540.965,491,77,8,1
6377,3683.055,905,82,7,1
6378,164.025,55,36,7,0
6379,611.61,188,48,7,0
6380,157.44,39,14,5,0
6381,210.24,56,21,5,0
6382,770.385,156,39,7,0
6383,1863.99,547,57,7,1
6384,3365.265,799,60,7,1
6385,5958.42,1505,69,7,1
6386,1665.51,483,55,7,1
6387,9580.125,2219,78,8,1
6388,5124.27,1352,87,7,1
6389,194.22,52,17,3,0
6390,5775.15,1606,68,7,1
6391,307.05,105,33,6,0
6392,3059.19,835,76,8,1
6393,2826.27,835,66,7,1
6394,4108.2300000000005,1077,63,7,1
6395,923.28,304,45,7,1
6396,2671.98,741,55,5,1
6397,638.37,186,34,5,1
6398,1761.1200000000001,503,52,7,1
6399,79.11,15,14,6,0
6400,1896.54,613,62,7,1
6401,3931.08,964,66,7,1
6402,1214.235,335,48,7,1
6403,134.52,42,31,7,0
6404,404.79,120,29,7,0
6405,5545.695,1634,79,7,1
6406,4718.295,1323,82,8,1
6407,169.785,53,24,6,0
6408,4865.474999999999,1162,65,8,1
6409,8116.74,1986,98,8,1
6410,276.255,83,23,5,0
6411,1520.04,388,57,6,1
6412,4602.705,1110,78,8,1
6413,13193.37,3140,95,8,1
6414,5743.65,1359,80,7,1
6415,820.1850000000001,247,44,7,1
6416,1030.7549999999999,293,46,7,1
6417,6521.3550000000005,1785,85,7,1
6418,5403.795,1426,79,7,1
6419,1251.9,254,32,6,1
6420,1803.9,550,70,7,1
6421,5599.695,1429,78,7,1
6422,163.605,39,15,4,0
6423,7639.47,1957,85,8,1
6424,658.89,153,37,8,0
6425,1083.525,292,46,7,1
6426,951.885,285,56,7,1
6427,1580.385,400,29,5,1
6428,11191.8,2418,85,7,1
6429,136.635,32,12,5,0
6430,1892.43,544,66,7,1
6431,6455.295,1567,74,7,1
6432,6912.795,1543,80,8,1
6433,326.94,92,41,7,0
6434,3549.81,897,56,7,1
6435,1267.215,276,55,7,0
6436,4259.715,1296,85,7,1
6437,9582.555,2013,92,8,1
6438,599.835,171,30,6,1
6439,1007.565,281,41,6,1
6440,2071.35,655,58,7,1
6441,10101.0,2591,101,8,1
6442,272.295,89,29,6,1
6443,7722.21,1840,83,7,1
6444,1186.755,403,48,7,1
6445,790.29,167,29,6,1
6446,26.295,7,3,2,0
6447,3331.005,954,75,7,1
6448,4332.33,1025,66,8,1
6449,4559.31,916,55,7,1
