ID Cliente,Tamaño de Cliente,Meses Comprados,N° Meses Comprados,Activo
3547,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
3551,CHICO,['Enero'],1,0
3565,CHICO,"['Enero', 'Febrero', 'Marzo']",3,0
3567,CHICO,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo', 'Mayo']",6,0
3587,MICRO,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo', 'Mayo']",6,0
3594,MICRO,['Enero'],1,0
3604,MICRO,"['Enero', 'Febrero', 'Marzo', 'Mayo']",4,0
3621,MICRO,['Marzo'],1,0
3671,MICRO,"['Enero', 'Febrero']",2,0
3685,MICRO,['Enero'],1,0
3693,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
3700,CHICO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
3710,MICRO,['Enero'],1,0
3717,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
3726,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo']",4,0
3732,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo']",4,0
3734,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
3738,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo']",4,0
3742,MICRO,"['Enero', 'Febrero']",2,0
3768,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo']",4,0
3769,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo']",4,0
3791,CHICO,"['Enero', 'Febrero']",2,0
3832,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
3833,MEDIANO,['Enero'],1,0
3841,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
3875,MICRO,"['Abril', 'Enero', 'Febrero', 'Julio', 'Marzo', 'Mayo']",6,0
3881,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo']",4,0
3885,MICRO,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo', 'Mayo']",6,0
3893,MICRO,"['Enero', 'Febrero']",2,0
3907,MEDIANO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
3911,MICRO,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo', 'Mayo']",6,0
3912,MEDIANO,"['Abril', 'Enero', 'Febrero', 'Marzo']",4,0
3914,MICRO,['Febrero'],1,0
3924,MICRO,['Febrero'],1,0
3956,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
3962,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
3965,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo']",4,0
3967,MICRO,['Enero'],1,0
3976,MICRO,['Enero'],1,0
3984,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
3990,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
3997,MICRO,['Diciembre'],1,0
4006,MICRO,['Febrero'],1,0
4011,CHICO,"['Enero', 'Febrero']",2,0
4028,MICRO,"['Enero', 'Febrero', 'Julio', 'Junio', 'Marzo']",5,0
4043,MICRO,['Enero'],1,0
4050,MICRO,"['Enero', 'Febrero']",2,0
4057,MICRO,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo', 'Mayo']",6,0
4058,MICRO,['Enero'],1,0
4065,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
4089,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
4101,MICRO,['Enero'],1,0
4126,MICRO,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo', 'Mayo']",6,0
4129,CHICO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
4148,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
4151,CHICO,"['Enero', 'Febrero']",2,0
4152,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo']",4,0
4174,CHICO,"['Enero', 'Febrero', 'Marzo']",3,0
4179,MICRO,"['Abril', 'Enero', 'Febrero', 'Marzo', 'Mayo']",5,0
4186,MICRO,"['Enero', 'Febrero']",2,0
4195,MICRO,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo', 'Mayo']",6,0
4217,CHICO,"['Enero', 'Febrero']",2,0
4220,EXT-GDE,['Enero'],1,0
4222,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
4226,MICRO,['Febrero'],1,0
4230,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
4231,MICRO,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo', 'Mayo']",6,0
4240,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
4251,MICRO,"['Enero', 'Febrero', 'Marzo']",3,0
4263,MICRO,"['Abril', 'Enero', 'Febrero', 'Junio', 'Marzo', 'Mayo']",6,0
4268,MICRO,['Febrero'],1,0
