ID Cliente,Total Ventas USD,Total Cajas,Productos Diferentes,Categorías Diferentes,Meses Diferentes,Cluster
5000,1004.955,247,47,7,3,2
5001,1542.48,384,50,7,3,2
5002,675.57,171,36,6,3,2
5003,789.015,232,53,6,3,2
5004,402.54,115,28,5,3,0
5005,204.57,54,15,5,3,0
5006,302.59499999999997,82,30,7,3,2
5007,480.90000000000003,132,39,8,3,2
5008,1039.905,265,46,6,3,2
5009,1346.115,314,41,6,3,2
5010,493.23,126,29,5,3,0
5011,563.73,127,24,4,3,0
5012,429.795,104,28,5,3,0
5013,120.015,25,4,2,2,3
5014,1775.655,387,36,7,3,2
5015,679.98,173,41,6,3,2
5016,1068.645,278,48,8,3,2
5017,91.815,33,17,6,3,0
5018,685.005,195,53,6,3,2
5019,937.62,239,40,7,3,2
5020,235.56,68,26,5,3,0
5021,902.28,220,45,7,3,2
5022,492.105,112,36,5,3,0
5023,910.785,261,51,6,3,2
5024,530.22,132,20,4,3,0
5025,505.71,127,29,6,3,0
5026,175.215,50,21,4,3,0
5027,1155.51,230,26,5,3,0
5028,291.105,85,29,5,3,0
5029,38.745000000000005,12,6,3,3,0
5030,1373.595,319,48,7,3,2
5031,274.245,61,19,5,3,0
5033,1078.305,258,44,6,3,2
5034,328.84499999999997,105,44,6,3,2
5035,280.59,95,39,6,3,2
5036,251.82,78,27,5,3,0
5037,144.825,43,16,5,3,0
5038,182.715,56,32,5,3,0
5039,232.155,73,27,5,3,0
5040,1029.255,295,54,7,3,2
5041,544.11,141,51,7,3,2
5042,192.04500000000002,58,17,5,3,0
5043,499.395,107,15,3,3,0
5044,361.635,88,23,5,3,0
5045,287.625,71,26,5,3,0
5046,55.47,21,15,5,1,3
5048,473.61,124,39,5,3,0
5049,92.505,23,6,3,3,0
5050,487.2,123,31,6,3,2
5051,1299.0,271,46,7,3,2
5052,651.54,165,46,4,3,0
5053,1571.67,341,52,7,3,2
5054,1860.495,439,65,6,3,1
5055,535.77,135,24,5,3,0
5056,2239.71,513,62,7,3,1
5057,427.515,131,32,5,3,0
5058,547.635,133,32,7,3,2
5059,963.78,228,48,6,3,2
5060,285.75,88,30,6,3,0
5061,103.275,26,15,5,3,0
5062,1235.355,310,43,7,3,2
5063,249.93,75,20,5,3,0
5064,172.095,50,3,1,3,0
5065,689.58,170,28,5,3,0
5066,2611.56,612,41,7,3,1
5067,40.545,18,7,4,1,3
5068,1006.275,245,44,7,3,2
